submission_id,Mapping,QUD,RT,Response,age,comments,correctness,education,endTime,expected,experiment_id,gender,handedness,key1,key2,key_pressed,languages,option1,option2,p,picture,q,question,startDate,startTime,technical_issues,timeSpent,trial_number,trial_type
1762,compatible,NA,973,left,20,"1. zu lange Testphase bei 1 und 3 (nach 3-4 mal hat mans verstanden). Kurze Testphase bei 2 wäre ganz gut, muss erstmal bemerken wo man drücken muss.\n2. sehr lange richtige Phasen bei 1 und 3, Konzentration könnte schon abnehmen und besonders beim letzten, hat man keine Lust mehr und wird schneller mal unkonzentriert.\n3. Bei Triangle/Circle braucht man immer seine Zeit um mit Maus (oder auf Mauspad) zum nächsten Knopf zu wechseln. Daher sobald ein zweites Dreieck hintereinander kommt, klickt man schneller als wenn man mit der Maus wechseln muss. Dies hat aber natürlich weniger mit der Erkennungszeit (was für ein Symbol das ist) an sich zu tun, als mit welche Mausart man benutzt oder wie man die Maus strategisch vorher platziert.\n4. Bei mir hat das erste Bild des Kreises/des Triangles langsam geladen. Kann aber auch am Internet hängen, aber sowas verzögert natürlich auch nochmal die Zeit.",1,Graduated High School,1595690932560,small,165,female,right-handed,q,p,q,german,NA,NA,large,images/stimulus_small.jpg,small,NA,Sat Jul 25 2020 17:08:37 GMT+0200 (Mitteleuropäische Sommerzeit),1595689717920,No,20.244,1,training_trials_compatible
1762,compatible,NA,423,right,20,"1. zu lange Testphase bei 1 und 3 (nach 3-4 mal hat mans verstanden). Kurze Testphase bei 2 wäre ganz gut, muss erstmal bemerken wo man drücken muss.\n2. sehr lange richtige Phasen bei 1 und 3, Konzentration könnte schon abnehmen und besonders beim letzten, hat man keine Lust mehr und wird schneller mal unkonzentriert.\n3. Bei Triangle/Circle braucht man immer seine Zeit um mit Maus (oder auf Mauspad) zum nächsten Knopf zu wechseln. Daher sobald ein zweites Dreieck hintereinander kommt, klickt man schneller als wenn man mit der Maus wechseln muss. Dies hat aber natürlich weniger mit der Erkennungszeit (was für ein Symbol das ist) an sich zu tun, als mit welche Mausart man benutzt oder wie man die Maus strategisch vorher platziert.\n4. Bei mir hat das erste Bild des Kreises/des Triangles langsam geladen. Kann aber auch am Internet hängen, aber sowas verzögert natürlich auch nochmal die Zeit.",1,Graduated High School,1595690932560,large,165,female,right-handed,q,p,p,german,NA,NA,large,images/stimulus_large.jpg,small,NA,Sat Jul 25 2020 17:08:37 GMT+0200 (Mitteleuropäische Sommerzeit),1595689717920,No,20.244,2,training_trials_compatible
1762,compatible,NA,430,left,20,"1. zu lange Testphase bei 1 und 3 (nach 3-4 mal hat mans verstanden). Kurze Testphase bei 2 wäre ganz gut, muss erstmal bemerken wo man drücken muss.\n2. sehr lange richtige Phasen bei 1 und 3, Konzentration könnte schon abnehmen und besonders beim letzten, hat man keine Lust mehr und wird schneller mal unkonzentriert.\n3. Bei Triangle/Circle braucht man immer seine Zeit um mit Maus (oder auf Mauspad) zum nächsten Knopf zu wechseln. Daher sobald ein zweites Dreieck hintereinander kommt, klickt man schneller als wenn man mit der Maus wechseln muss. Dies hat aber natürlich weniger mit der Erkennungszeit (was für ein Symbol das ist) an sich zu tun, als mit welche Mausart man benutzt oder wie man die Maus strategisch vorher platziert.\n4. Bei mir hat das erste Bild des Kreises/des Triangles langsam geladen. Kann aber auch am Internet hängen, aber sowas verzögert natürlich auch nochmal die Zeit.",1,Graduated High School,1595690932560,small,165,female,right-handed,q,p,q,german,NA,NA,large,images/stimulus_small.jpg,small,NA,Sat Jul 25 2020 17:08:37 GMT+0200 (Mitteleuropäische Sommerzeit),1595689717920,No,20.244,3,training_trials_compatible
1762,compatible,NA,352,right,20,"1. zu lange Testphase bei 1 und 3 (nach 3-4 mal hat mans verstanden). Kurze Testphase bei 2 wäre ganz gut, muss erstmal bemerken wo man drücken muss.\n2. sehr lange richtige Phasen bei 1 und 3, Konzentration könnte schon abnehmen und besonders beim letzten, hat man keine Lust mehr und wird schneller mal unkonzentriert.\n3. Bei Triangle/Circle braucht man immer seine Zeit um mit Maus (oder auf Mauspad) zum nächsten Knopf zu wechseln. Daher sobald ein zweites Dreieck hintereinander kommt, klickt man schneller als wenn man mit der Maus wechseln muss. Dies hat aber natürlich weniger mit der Erkennungszeit (was für ein Symbol das ist) an sich zu tun, als mit welche Mausart man benutzt oder wie man die Maus strategisch vorher platziert.\n4. Bei mir hat das erste Bild des Kreises/des Triangles langsam geladen. Kann aber auch am Internet hängen, aber sowas verzögert natürlich auch nochmal die Zeit.",1,Graduated High School,1595690932560,large,165,female,right-handed,q,p,p,german,NA,NA,large,images/stimulus_large.jpg,small,NA,Sat Jul 25 2020 17:08:37 GMT+0200 (Mitteleuropäische Sommerzeit),1595689717920,No,20.244,4,training_trials_compatible
1762,compatible,NA,391,right,20,"1. zu lange Testphase bei 1 und 3 (nach 3-4 mal hat mans verstanden). Kurze Testphase bei 2 wäre ganz gut, muss erstmal bemerken wo man drücken muss.\n2. sehr lange richtige Phasen bei 1 und 3, Konzentration könnte schon abnehmen und besonders beim letzten, hat man keine Lust mehr und wird schneller mal unkonzentriert.\n3. Bei Triangle/Circle braucht man immer seine Zeit um mit Maus (oder auf Mauspad) zum nächsten Knopf zu wechseln. Daher sobald ein zweites Dreieck hintereinander kommt, klickt man schneller als wenn man mit der Maus wechseln muss. Dies hat aber natürlich weniger mit der Erkennungszeit (was für ein Symbol das ist) an sich zu tun, als mit welche Mausart man benutzt oder wie man die Maus strategisch vorher platziert.\n4. Bei mir hat das erste Bild des Kreises/des Triangles langsam geladen. Kann aber auch am Internet hängen, aber sowas verzögert natürlich auch nochmal die Zeit.",1,Graduated High School,1595690932560,large,165,female,right-handed,q,p,p,german,NA,NA,large,images/stimulus_large.jpg,small,NA,Sat Jul 25 2020 17:08:37 GMT+0200 (Mitteleuropäische Sommerzeit),1595689717920,No,20.244,5,training_trials_compatible
1762,compatible,NA,498,right,20,"1. zu lange Testphase bei 1 und 3 (nach 3-4 mal hat mans verstanden). Kurze Testphase bei 2 wäre ganz gut, muss erstmal bemerken wo man drücken muss.\n2. sehr lange richtige Phasen bei 1 und 3, Konzentration könnte schon abnehmen und besonders beim letzten, hat man keine Lust mehr und wird schneller mal unkonzentriert.\n3. Bei Triangle/Circle braucht man immer seine Zeit um mit Maus (oder auf Mauspad) zum nächsten Knopf zu wechseln. Daher sobald ein zweites Dreieck hintereinander kommt, klickt man schneller als wenn man mit der Maus wechseln muss. Dies hat aber natürlich weniger mit der Erkennungszeit (was für ein Symbol das ist) an sich zu tun, als mit welche Mausart man benutzt oder wie man die Maus strategisch vorher platziert.\n4. Bei mir hat das erste Bild des Kreises/des Triangles langsam geladen. Kann aber auch am Internet hängen, aber sowas verzögert natürlich auch nochmal die Zeit.",1,Graduated High School,1595690932560,large,165,female,right-handed,q,p,p,german,NA,NA,large,images/stimulus_large.jpg,small,NA,Sat Jul 25 2020 17:08:37 GMT+0200 (Mitteleuropäische Sommerzeit),1595689717920,No,20.244,6,training_trials_compatible
1762,compatible,NA,517,right,20,"1. zu lange Testphase bei 1 und 3 (nach 3-4 mal hat mans verstanden). Kurze Testphase bei 2 wäre ganz gut, muss erstmal bemerken wo man drücken muss.\n2. sehr lange richtige Phasen bei 1 und 3, Konzentration könnte schon abnehmen und besonders beim letzten, hat man keine Lust mehr und wird schneller mal unkonzentriert.\n3. Bei Triangle/Circle braucht man immer seine Zeit um mit Maus (oder auf Mauspad) zum nächsten Knopf zu wechseln. Daher sobald ein zweites Dreieck hintereinander kommt, klickt man schneller als wenn man mit der Maus wechseln muss. Dies hat aber natürlich weniger mit der Erkennungszeit (was für ein Symbol das ist) an sich zu tun, als mit welche Mausart man benutzt oder wie man die Maus strategisch vorher platziert.\n4. Bei mir hat das erste Bild des Kreises/des Triangles langsam geladen. Kann aber auch am Internet hängen, aber sowas verzögert natürlich auch nochmal die Zeit.",1,Graduated High School,1595690932560,large,165,female,right-handed,q,p,p,german,NA,NA,large,images/stimulus_large.jpg,small,NA,Sat Jul 25 2020 17:08:37 GMT+0200 (Mitteleuropäische Sommerzeit),1595689717920,No,20.244,7,training_trials_compatible
1762,compatible,NA,469,right,20,"1. zu lange Testphase bei 1 und 3 (nach 3-4 mal hat mans verstanden). Kurze Testphase bei 2 wäre ganz gut, muss erstmal bemerken wo man drücken muss.\n2. sehr lange richtige Phasen bei 1 und 3, Konzentration könnte schon abnehmen und besonders beim letzten, hat man keine Lust mehr und wird schneller mal unkonzentriert.\n3. Bei Triangle/Circle braucht man immer seine Zeit um mit Maus (oder auf Mauspad) zum nächsten Knopf zu wechseln. Daher sobald ein zweites Dreieck hintereinander kommt, klickt man schneller als wenn man mit der Maus wechseln muss. Dies hat aber natürlich weniger mit der Erkennungszeit (was für ein Symbol das ist) an sich zu tun, als mit welche Mausart man benutzt oder wie man die Maus strategisch vorher platziert.\n4. Bei mir hat das erste Bild des Kreises/des Triangles langsam geladen. Kann aber auch am Internet hängen, aber sowas verzögert natürlich auch nochmal die Zeit.",1,Graduated High School,1595690932560,large,165,female,right-handed,q,p,p,german,NA,NA,large,images/stimulus_large.jpg,small,NA,Sat Jul 25 2020 17:08:37 GMT+0200 (Mitteleuropäische Sommerzeit),1595689717920,No,20.244,8,training_trials_compatible
1762,compatible,NA,433,right,20,"1. zu lange Testphase bei 1 und 3 (nach 3-4 mal hat mans verstanden). Kurze Testphase bei 2 wäre ganz gut, muss erstmal bemerken wo man drücken muss.\n2. sehr lange richtige Phasen bei 1 und 3, Konzentration könnte schon abnehmen und besonders beim letzten, hat man keine Lust mehr und wird schneller mal unkonzentriert.\n3. Bei Triangle/Circle braucht man immer seine Zeit um mit Maus (oder auf Mauspad) zum nächsten Knopf zu wechseln. Daher sobald ein zweites Dreieck hintereinander kommt, klickt man schneller als wenn man mit der Maus wechseln muss. Dies hat aber natürlich weniger mit der Erkennungszeit (was für ein Symbol das ist) an sich zu tun, als mit welche Mausart man benutzt oder wie man die Maus strategisch vorher platziert.\n4. Bei mir hat das erste Bild des Kreises/des Triangles langsam geladen. Kann aber auch am Internet hängen, aber sowas verzögert natürlich auch nochmal die Zeit.",1,Graduated High School,1595690932560,large,165,female,right-handed,q,p,p,german,NA,NA,large,images/stimulus_large.jpg,small,NA,Sat Jul 25 2020 17:08:37 GMT+0200 (Mitteleuropäische Sommerzeit),1595689717920,No,20.244,9,training_trials_compatible
1762,compatible,NA,420,left,20,"1. zu lange Testphase bei 1 und 3 (nach 3-4 mal hat mans verstanden). Kurze Testphase bei 2 wäre ganz gut, muss erstmal bemerken wo man drücken muss.\n2. sehr lange richtige Phasen bei 1 und 3, Konzentration könnte schon abnehmen und besonders beim letzten, hat man keine Lust mehr und wird schneller mal unkonzentriert.\n3. Bei Triangle/Circle braucht man immer seine Zeit um mit Maus (oder auf Mauspad) zum nächsten Knopf zu wechseln. Daher sobald ein zweites Dreieck hintereinander kommt, klickt man schneller als wenn man mit der Maus wechseln muss. Dies hat aber natürlich weniger mit der Erkennungszeit (was für ein Symbol das ist) an sich zu tun, als mit welche Mausart man benutzt oder wie man die Maus strategisch vorher platziert.\n4. Bei mir hat das erste Bild des Kreises/des Triangles langsam geladen. Kann aber auch am Internet hängen, aber sowas verzögert natürlich auch nochmal die Zeit.",1,Graduated High School,1595690932560,small,165,female,right-handed,q,p,q,german,NA,NA,large,images/stimulus_small.jpg,small,NA,Sat Jul 25 2020 17:08:37 GMT+0200 (Mitteleuropäische Sommerzeit),1595689717920,No,20.244,10,training_trials_compatible
